Keycode,QCF_MOTION,HCFB_MOTION,DQCB_MOTION,BB_MOTION,default,HCBF_MOTION,JJ_MOTION,DJ_MOTION,DD_MOTION,QCB_MOTION,JUMP_HELD,FF_MOTION,BACK_HELD,DOWN_HELD,FRNT_HELD,HCB_MOTION,HCF_MOTION,BF_MOTION,FB_MOTION,JD_MOTION,DPF_MOTION,DPB_MOTION
VM_LEFT,KC_G; S(KC_E),,,S(KC_F),KC_H; key_2 = KC_CANCEL; key_2 = KC_CANCEL,KC_CIRC,,,,S(KC_B),,,KC_B,,KC_G; KC_E,KC_0,,,S(KC_T),,,is_text_object ? KC_S : KC_RPRN
VM_DOWN,KC_Z; KC_J,KC_G; KC_UNDS,,,KC_J; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,,S(KC_M),C(KC_X),,KC_G; KC_J,,KC_PLUS,is_text_object ? KC_P : KC_RCBR,,KC_H,,,,KC_G; C(KC_X),,
VM___UP,,,,,KC_K; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,C(KC_A),KC_G; C(KC_A),,KC_Z; KC_K,is_text_object ? KC_P : KC_LCBR,,KC_MINUS,KC_G; KC_K,,,KC_L,,,S(KC_M),,
VM_RGHT,S(KC_W),KC_G; KC_END,,,KC_L; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,,KC_TILDE,,S(KC_E),,KC_F,KC_E,,KC_W,,KC_DLR,KC_T,,,is_text_object ? KC_S : KC_LPRN,
VM_VERT,,,,,KC_Z; KC_DOT; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,KC_LBRC; KC_LCBR,KC_G; KC_G,KC_RBRC; KC_RCBR,,KC_LBRC; KC_LPRN,,KC_LBRC; KC_LBRC,KC_RBRC; KC_RPRN,KC_RBRC; KC_RBRC,,,KC_LBRC; KC_RBRC,KC_RBRC; KC_LBRC,S(KC_G),,
VM_HORI,KC_RBRC; KC_Z,,,KC_M; KC_LABK,S(KC_M); key_2 = key_3 = KC_CANCEL; key_2 = key_3 = KC_CANCEL,,KC_G; S(KC_U); S(KC_U),KC_G; KC_TILDE; KC_TILDE,KC_G; KC_U; KC_U,KC_LBRC; KC_Z,KC_M; KC_LBRC,KC_M; KC_RABK,,KC_M; KC_RBRC,,,KC_BAR,KC_G; KC_Q; KC_Q,,,,
VM_NTRL,KC_G; KC_SCLN,,,KC_QUOT,KC_ESC; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,KC_T,KC_QUOT,KC_DQUO,KC_G; KC_COMMA,KC_LABK,KC_GRV,KC_LCBR,KC_LPRN,is_text_object ? KC_LBRC : KC_N,,,KC_SCLN,KC_COMMA,KC_DOT,,
VM_CHAN,,,,,KC_C; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,S(KC_R),KC_G; KC_R,S(KC_S),,KC_R,,KC_C; KC_A,KC_S,KC_C; KC_I,,S(KC_C),,,KC_G; S(KC_R),,
VM_DELE,,,,,KC_D; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,,KC_G; S(KC_J),KC_D; KC_D,S(KC_X),S(KC_J),,KC_D; KC_A,KC_X,KC_D; KC_I,,S(KC_D),,,,,
VM_YANK,KC_G; KC_P,,,,KC_Y; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,KC_Y; KC_Y,KC_Z; KC_Y,KC_RBRC; S(KC_P),KC_G; S(KC_P),,,KC_Y; KC_A,KC_RBRC; KC_P,KC_Y; KC_I,,S(KC_Y),,,,KC_Z; KC_P,KC_Z; S(KC_P)
VM_VISU,,,,,KC_V; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,,,,,S(KC_V),,KC_V; KC_A,C(KC_V),KC_V; KC_I,,,,,,,
VM_MRKQ,KC_QUOT,KC_RBRC; KC_QUOT,,KC_QUOT; KC_QUOT,KC_M; key_2 = KC_CANCEL; key_2 = KC_CANCEL,KC_LBRC; KC_QUOT,,KC_G; KC_QUOT,,,KC_QUOT; KC_LCBR,,KC_QUOT; KC_LBRC,KC_QUOT; KC_RCBR,KC_QUOT; KC_RBRC,KC_QUOT; KC_LABK,KC_QUOT; KC_RABK,KC_QUOT; KC_DOT,KC_M; KC_QUOT,KC_QUOT; KC_CIRC,KC_QUOT; KC_RPRN,KC_QUOT; KC_LPRN
VM_MRKG,KC_GRV,KC_RBRC; KC_GRV,,KC_GRV; KC_GRV,KC_M; key_2 = KC_CANCEL; key_2 = KC_CANCEL,KC_LBRC; KC_GRV,,KC_G; KC_GRV,,,KC_GRV; KC_LCBR,,KC_GRV; KC_LBRC,KC_GRV; KC_RCBR,KC_GRV; KC_RBRC,KC_GRV; KC_LABK,KC_GRV; KC_RABK,KC_GRV; KC_DOT,KC_M; KC_GRV,KC_GRV; KC_CIRC,KC_GRV; KC_RPRN,KC_GRV; KC_LPRN
VM_FRMT,,KC_G; KC_W; KC_I,,KC_LABK,KC_G; KC_Q; key_2 = key_3 = KC_CANCEL; key_2 = key_3 = KC_CANCEL,KC_G; KC_W; KC_A,,KC_G; KC_TILD,,KC_G; KC_W,KC_G; S(KC_U),KC_RABK,KC_G; KC_Q; KC_A,KC_G; KC_U,KC_G; KC_Q; KC_I,KC_LABK; KC_LABK,KC_RABK; KC_RABK,,,,,
VM_FOLD,KC_Z; KC_R,KC_Z; S(KC_F),KC_Z; S(KC_E),KC_Z; KC_X,KC_Z; KC_I; key_2 = KC_CANCEL; key_2 = KC_CANCEL,KC_Z; KC_F,KC_Z; S(KC_C),KC_Z; KC_A,KC_Z; S(KC_O),KC_Z; KC_M,KC_Z; KC_C,KC_Z; S(KC_N),,KC_Z; KC_O,,KC_Z; S(KC_D),KC_Z; KC_D,KC_Z; S(KC_X),KC_Z; KC_N,KC_Z; S(KC_A),KC_Z; S(KC_R),KC_Z; S(KC_M)
VM_SRCH,KC_N,,,,KC_PERC; key_2 = KC_CANCEL; key_2 = KC_CANCEL,,KC_LBRC; C(KC_I),C(KC_T),,S(KC_N),KC_LBRC; S(KC_I),,KC_HASH,C(KC_RBRC),KC_ASTR,,,,,,,
